Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
412720 TERRA BOA;90;50;345;190;468;366;320;994;80;213;92;3208
412730 TERRA RICA;13;6;26;31;25;20;16;35;3;18;19;212
412740 TERRA ROXA;84;-;3;5;6;1;16;38;5;10;5;173
412750 TIBAGI;1001;1;5;7;17;10;11;28;-;4;77;1161
412770 TOLEDO;1556;4;107;114;330;589;473;739;53;137;330;4432
412780 TOMAZINA;-;-;-;-;1;-;1;6;-;-;-;8
412785 TRES BARRAS DO PARANA;23;6;28;17;27;19;25;58;9;30;12;254
412790 TUNEIRAS DO OESTE;-;2;2;1;6;2;5;21;-;2;2;43
412795 TUPASSI;365;-;2;-;1;-;1;5;3;1;13;391
412796 TURVO;-;-;-;1;-;-;1;3;-;2;-;7
412800 UBIRATA;299;1;7;5;7;13;269;145;3;3;63;815
412810 UMUARAMA;1383;-;13;8;24;20;42;83;16;54;71;1714
412820 UNIAO DA VITORIA;-;-;-;-;-;-;1;1;-;-;-;2
412830 UNIFLOR;14;2;2;2;5;2;2;6;-;6;1;42
412840 URAI;12;-;-;-;-;-;1;2;-;-;3;18
412850 WENCESLAU BRAZ;-;-;1;-;1;-;4;5;-;-;1;12
412853 VENTANIA;1;-;-;-;-;-;2;-;-;1;-;4
412855 VERA CRUZ DO OESTE;89;13;108;50;103;65;91;227;24;68;38;876
412860 VERE;601;1;38;28;28;39;51;97;14;88;32;1017
412862 ALTO PARAISO;70;-;-;-;-;-;1;-;-;-;5;76
412865 VIRMOND;-;-;-;-;-;1;1;-;-;1;1;4
412870 VITORINO;17;-;2;2;15;-;6;9;1;3;4;59
412880 XAMBRE;48;3;14;5;16;9;14;24;4;10;7;154
420010 ABELARDO LUZ;51;1;3;32;45;19;197;359;8;17;29;761
420020 AGROLANDIA;-;-;-;-;-;-;-;-;-;2;-;2
420040 AGUA DOCE;1;-;-;-;-;-;-;-;-;-;-;1
420050 AGUAS DE CHAPECO;2;1;7;12;13;7;6;16;5;12;3;84
420055 AGUAS FRIAS;-;-;4;3;3;10;1;13;2;11;-;47
420075 ALTO BELA VISTA;-;-;-;-;-;2;6;16;-;2;2;28
420080 ANCHIETA;-;2;6;3;9;3;2;11;-;3;-;39
420120 ANTONIO CARLOS;2;-;-;-;-;-;-;1;-;1;-;4
420125 APIUNA;20;-;1;-;2;-;-;1;-;-;-;24
420127 ARABUTA;13;-;3;-;-;-;1;4;-;1;-;22
420130 ARAQUARI;28;7;-;2;10;7;3;18;1;2;3;81
420140 ARARANGUA;1;-;-;-;-;1;-;-;-;-;1;3
420165 ARVOREDO;-;-;1;-;-;2;2;5;-;-;-;10
420170 ASCURRA;112;4;10;25;55;38;5;31;4;8;11;303
420190 AURORA;-;-;1;-;-;-;-;-;-;-;-;1
420195 BALNEARIO ARROIO DO SILVA;-;-;1;1;-;-;-;-;-;-;-;2
420200 BALNEARIO CAMBORIU;379;1;11;4;13;18;24;121;16;35;49;671
420205 BALNEARIO BARRA DO SUL;25;-;-;-;3;2;6;5;4;-;2;47
420207 BALNEARIO GAIVOTA;-;-;-;-;1;-;-;1;-;-;-;2
420208 BANDEIRANTE;-;-;-;-;1;-;-;1;1;-;-;3
420209 BARRA BONITA;3;-;6;3;3;5;2;14;3;11;-;50
420210 BARRA VELHA;-;-;1;4;4;7;4;22;4;3;1;50
420215 BELMONTE;229;4;47;8;38;10;15;44;11;27;21;454
420220 BENEDITO NOVO;1;-;-;-;1;1;-;3;-;1;-;7
420230 BIGUACU;42;-;-;2;6;1;3;16;2;2;-;74
420240 BLUMENAU;648;8;595;618;924;1214;841;3219;463;1613;472;10615
420245 BOMBINHAS;318;-;5;3;15;32;45;64;5;17;10;514
420253 BOM JESUS;31;-;-;-;-;-;3;1;-;1;-;36
420257 BOM JESUS DO OESTE;3;-;3;-;4;3;1;12;-;2;1;29
420270 BOTUVERA;14;-;-;2;1;5;6;6;-;1;3;38
420280 BRACO DO NORTE;2;-;-;-;-;-;-;1;-;-;-;3
420290 BRUSQUE;4047;1;29;41;127;87;111;258;37;90;188;5016
420300 CACADOR;1;-;-;2;-;-;2;1;-;-;-;6
420310 CAIBI;9;2;47;95;91;15;15;31;9;18;14;346
420320 CAMBORIU;20;-;2;1;3;3;3;5;2;3;3;45
420330 CAMPO ALEGRE;-;-;-;-;1;-;-;3;-;1;-;5
420350 CAMPO ERE;67;-;1;1;4;-;3;3;1;9;2;91
420370 CANELINHA;3;-;-;1;1;-;1;3;-;2;1;12
420380 CANOINHAS;2;-;-;-;-;-;-;-;-;1;-;3
420390 CAPINZAL;-;-;-;1;-;-;-;1;-;1;-;3
420395 CAPIVARI DE BAIXO;-;-;-;-;-;-;-;1;1;1;-;3
420400 CATANDUVAS;3;-;-;-;1;-;-;-;2;1;-;7
420410 CAXAMBU DO SUL;408;-;-;-;-;-;-;1;-;-;15;424
420419 CHAPADAO DO LAGEADO;-;-;1;-;-;-;-;-;-;-;-;1
420420 CHAPECO;4975;15;126;113;254;195;304;612;98;196;293;7181
420425 COCAL DO SUL;-;-;-;-;-;-;-;1;-;-;-;1
420430 CONCORDIA;3440;-;91;83;242;123;58;739;11;22;247;5056
420435 CORDILHEIRA ALTA;27;1;1;7;2;2;2;13;-;1;1;57
420440 CORONEL FREITAS;481;1;43;208;47;14;46;845;-;32;95;1812
420460 CRICIUMA;10;-;1;-;1;-;-;7;-;5;3;27
420470 CUNHA PORA;91;-;16;22;31;17;23;70;9;30;5;314
420475 CUNHATAI;-;-;1;4;22;8;11;14;-;3;5;68
420480 CURITIBANOS;-;-;-;-;-;-;-;2;-;-;-;2
420490 DESCANSO;82;-;-;1;-;1;-;3;1;6;3;97
420500 DIONISIO CERQUEIRA;15;-;1;-;-;-;4;13;-;1;3;37
420517 ENTRE RIOS;4;1;-;2;-;3;-;7;2;5;3;27
420519 ERMO;-;-;-;-;-;-;-;1;-;-;-;1
420530 FAXINAL DOS GUEDES;1;-;1;1;6;-;4;8;-;2;-;23
420535 FLOR DO SERTAO;3;3;46;28;23;12;11;19;3;26;4;178
420540 FLORIANOPOLIS;2186;100;35;71;227;237;91;1019;134;697;247;5044
420543 FORMOSA DO SUL;-;-;3;1;2;1;2;2;-;2;2;15
420550 FRAIBURGO;1;-;-;-;-;-;1;2;-;-;-;4
420560 GALVAO;1;-;-;-;-;1;-;1;-;1;-;4
420570 GAROPABA;9;-;-;-;-;-;-;-;1;2;-;12
420580 GARUVA;147;2;18;10;48;27;58;102;12;20;20;464
420590 GASPAR;3;-;4;4;7;11;6;19;1;9;3;67
420600 GOVERNADOR CELSO RAMOS;-;-;-;1;-;-;1;2;-;1;-;5
420620 GRAVATAL;1;-;-;-;-;-;-;-;-;-;-;1
420630 GUABIRUBA;54;2;16;5;21;14;22;61;5;17;5;222
420640 GUARACIABA;607;1;42;50;75;42;47;115;15;92;51;1137
420650 GUARAMIRIM;-;-;1;3;-;3;-;9;-;-;-;16
420660 GUARUJA DO SUL;33;-;1;-;-;-;4;18;-;6;1;63
420665 GUATAMBU;48;-;1;1;2;2;2;2;1;5;2;66
420670 HERVAL D'OESTE;5;-;-;-;2;1;-;1;1;9;-;19
420680 IBICARE;-;-;-;1;1;-;-;1;-;-;-;3
420690 IBIRAMA;-;-;-;2;4;-;1;2;1;-;-;10
420700 ICARA;-;-;-;-;-;-;2;4;-;1;-;7
420710 ILHOTA;-;-;-;2;1;3;1;2;-;2;1;12
420720 IMARUI;-;-;-;-;-;-;-;-;1;-;-;1
420730 IMBITUBA;-;-;-;-;-;-;1;3;-;2;-;6
420750 INDAIAL;9;1;4;2;11;4;7;14;3;7;2;64
420760 IPIRA;-;-;2;-;-;1;-;1;-;1;-;5
420765 IPORA DO OESTE;15;4;154;172;158;104;75;279;40;112;39;1152
420768 IPUACU;17;-;-;1;1;3;1;5;-;5;4;37
420770 IPUMIRIM;16;-;10;8;12;9;9;42;4;11;8;129
420775 IRACEMINHA;88;-;11;8;13;12;10;16;4;14;5;181
420780 IRANI;-;-;-;2;1;1;-;2;-;-;-;6
420785 IRATI;-;-;-;-;1;-;1;4;-;-;-;6
420800 ITA;50;6;132;54;122;43;85;297;34;100;55;978
420810 ITAIOPOLIS;-;-;-;-;-;-;-;-;-;2;-;2
420820 ITAJAI;133;2;8;6;50;9;19;55;15;27;11;335
420830 ITAPEMA;100;4;9;-;9;9;11;33;11;12;7;205
420840 ITAPIRANGA;24;-;9;8;10;5;9;45;8;12;1;131
420845 ITAPOA;5;1;1;1;-;1;-;3;-;2;-;14
420850 ITUPORANGA;-;-;-;-;1;-;-;-;-;-;-;1
420860 JABORA;-;-;1;-;-;-;-;-;-;-;1;2
420870 JACINTO MACHADO;-;-;-;-;-;-;-;1;-;-;-;1
420890 JARAGUA DO SUL;5;-;2;4;5;8;8;28;4;10;-;74
420895 JARDINOPOLIS;-;-;-;-;3;-;1;2;-;-;-;6
420900 JOACABA;6;-;-;1;-;-;-;-;1;4;-;12
420910 JOINVILLE;5342;476;4250;196;495;1907;726;5459;378;1611;663;21503
420915 JOSE BOITEUX;-;-;1;-;-;-;-;1;-;-;-;2
420917 JUPIA;-;-;-;-;-;-;-;1;-;-;-;1
420930 LAGES;2;-;-;1;-;2;1;2;-;2;1;11
420940 LAGUNA;-;-;-;-;-;-;-;1;1;1;-;3
420945 LAJEADO GRANDE;-;-;-;-;-;2;-;-;-;-;-;2
420950 LAURENTINO;-;-;-;-;-;-;-;3;-;-;1;4
420985 LINDOIA DO SUL;1;-;1;1;1;-;1;6;3;-;-;14
420990 LONTRAS;-;-;-;-;-;-;-;1;-;-;-;1
421000 LUIZ ALVES;-;-;-;-;1;-;-;2;-;-;-;3
421003 LUZERNA;1;-;-;-;-;-;-;1;1;-;-;3
421010 MAFRA;3;-;-;-;-;-;-;-;-;1;-;4
421050 MARAVILHA;1954;16;277;138;262;158;238;572;84;257;160;4116
421055 MAREMA;-;1;2;-;3;1;-;1;-;2;1;11
421060 MASSARANDUBA;-;-;-;-;1;1;2;4;-;1;-;9
421090 MODELO;-;1;3;1;1;2;-;6;1;5;-;20
421100 MONDAI;92;7;79;115;185;159;218;657;42;127;78;1759
421130 NAVEGANTES;181;1;-;3;5;1;3;13;2;3;12;224
421140 NOVA ERECHIM;9;2;1;5;4;3;3;8;-;3;1;39
421145 NOVA ITABERABA;36;1;12;6;13;5;10;18;2;12;3;118
421150 NOVA TRENTO;32;-;-;1;-;-;-;-;-;-;2;35
421170 ORLEANS;-;-;-;1;-;1;-;2;-;-;-;4
421175 OTACILIO COSTA;-;-;1;-;-;-;-;-;-;-;-;1
421185 OURO VERDE;-;-;1;-;4;1;1;3;2;3;-;15
421187 PAIAL;-;-;1;-;1;2;-;3;-;-;1;8
421190 PALHOCA;86;1;3;-;6;6;6;13;3;7;5;136
421200 PALMA SOLA;-;-;-;1;2;-;-;6;1;1;-;11
421210 PALMITOS;284;18;299;94;285;131;202;345;76;204;93;2031
421220 PAPANDUVA;1;-;-;-;-;-;-;-;-;-;-;1
421223 PARAISO;-;-;5;1;3;10;4;7;2;3;3;38
421227 PASSOS MAIA;-;-;-;-;-;-;-;1;-;-;-;1
421230 PAULO LOPES;2;-;-;-;-;-;-;-;-;1;-;3
421250 PENHA;5;-;2;6;97;8;7;8;1;2;2;138
421260 PERITIBA;22;-;13;13;16;12;6;30;-;12;3;127
421280 BALNEARIO PICARRAS;14;1;2;4;23;9;4;17;2;5;2;83
421290 PINHALZINHO;49;-;4;5;9;3;6;22;3;11;4;116
421310 PIRATUBA;3;-;8;3;12;4;4;26;4;15;9;88
421315 PLANALTO ALEGRE;-;-;3;1;5;-;1;3;-;3;2;18
421320 POMERODE;2;-;1;-;1;3;-;8;1;1;1;18
421340 PONTE SERRADA;-;-;-;-;1;2;-;4;-;2;-;9
421350 PORTO BELO;191;-;3;11;13;1;29;85;12;22;10;377
421360 PORTO UNIAO;-;-;-;-;-;-;-;-;-;3;-;3
421370 POUSO REDONDO;-;-;-;-;-;-;-;3;-;-;-;3
421390 PRESIDENTE CASTELLO BRANCO;5;-;-;-;-;-;-;-;-;-;1;6
421400 PRESIDENTE GETULIO;1;-;-;-;-;1;-;-;-;1;-;3
421415 PRINCESA;45;1;-;1;2;2;-;3;-;1;2;57
421420 QUILOMBO;58;1;6;2;8;5;2;13;1;9;-;105
421450 RIO DO CAMPO;3;-;-;-;-;-;-;-;-;-;-;3
421470 RIO DOS CEDROS;2;-;-;-;-;-;1;-;-;-;-;3
421480 RIO DO SUL;11;1;-;-;-;2;-;-;-;3;-;17
421500 RIO NEGRINHO;-;-;-;-;-;-;-;2;-;-;-;2
421507 RIQUEZA;5;-;12;15;13;5;9;27;1;13;3;103
421510 RODEIO;5;-;1;3;-;2;1;9;-;4;2;27
421520 ROMELANDIA;263;-;14;-;9;25;2;20;-;23;13;369
421535 SALTINHO;-;1;10;2;4;2;7;10;2;4;4;46
421555 SANTA HELENA;1;1;7;26;14;17;15;23;-;9;2;115
421568 SANTA TEREZINHA DO PROGRESSO;18;4;47;31;43;21;22;62;3;20;14;285
421569 SANTIAGO DO SUL;6;-;2;2;9;-;4;13;1;2;2;41
421570 SANTO AMARO DA IMPERATRIZ;21;-;-;-;3;4;4;11;-;1;-;44
421575 SAO BERNARDINO;-;-;1;1;2;-;3;1;-;1;-;9
421580 SAO BENTO DO SUL;-;-;1;1;1;-;2;-;1;2;-;8
421590 SAO BONIFACIO;1;-;-;-;1;-;-;-;-;-;-;2
421600 SAO CARLOS;46;1;11;7;12;9;8;21;8;10;5;138
421610 SAO DOMINGOS;-;-;-;2;5;4;1;4;-;3;1;20
421620 SAO FRANCISCO DO SUL;53;-;16;4;14;8;12;80;9;20;7;223
421625 SAO JOAO DO OESTE;14;-;4;4;4;10;6;26;3;9;3;83
421630 SAO JOAO BATISTA;-;-;6;2;12;2;5;21;6;8;4;66
421635 SAO JOAO DO ITAPERIU;-;-;-;1;-;-;-;-;-;-;-;1
421640 SAO JOAO DO SUL;-;-;-;-;-;1;-;-;-;-;-;1
421650 SAO JOAQUIM;-;-;-;-;-;-;-;-;-;1;-;1
421660 SAO JOSE;47;1;13;8;23;16;14;64;12;18;12;228
421670 SAO JOSE DO CEDRO;325;2;112;115;161;70;111;270;35;112;57;1370
421690 SAO LOURENCO DO OESTE;20;1;-;-;-;-;1;3;3;7;-;35
421700 SAO LUDGERO;-;-;-;-;-;-;-;-;1;-;-;1
421710 SAO MARTINHO;-;-;-;-;-;1;-;-;-;-;-;1
421715 SAO MIGUEL DA BOA VISTA;153;-;29;2;2;2;1;23;-;3;12;227
421720 SAO MIGUEL DO OESTE;8;2;34;89;148;101;109;382;70;142;31;1116
421725 SAO PEDRO DE ALCANTARA;-;-;-;1;-;2;1;6;-;1;-;11
421730 SAUDADES;71;-;15;14;18;17;19;51;8;22;6;241
421740 SCHROEDER;2;-;1;-;1;-;1;1;-;-;-;6
421750 SEARA;1643;-;-;-;-;-;-;-;-;2;65;1710
421755 SERRA ALTA;-;-;1;5;2;4;4;6;1;4;-;27
421760 SIDEROPOLIS;-;-;-;-;-;-;-;1;-;-;-;1
421770 SOMBRIO;-;-;1;-;2;-;-;-;-;-;-;3
421775 SUL BRASIL;-;-;3;-;-;-;1;4;1;1;1;11
421780 TAIO;-;-;-;-;-;-;-;-;-;-;1;1
421795 TIGRINHOS;43;-;12;17;9;5;5;21;-;9;5;126
421800 TIJUCAS;89;-;-;-;-;-;1;1;-;1;4;96
421820 TIMBO;8;1;3;4;2;2;1;12;2;6;3;44
421830 TRES BARRAS;-;-;-;-;-;-;-;2;-;-;-;2
421840 TREZE DE MAIO;1;-;1;-;1;-;-;-;-;-;1;4
421850 TREZE TILIAS;-;-;-;-;-;-;-;-;-;1;-;1
421860 TROMBUDO CENTRAL;-;-;-;-;-;-;-;2;-;-;-;2
421870 TUBARAO;4;-;-;1;3;-;2;4;1;3;-;18
421875 TUNAPOLIS;24;-;3;19;11;5;-;23;2;12;4;103
421880 TURVO;-;-;-;-;-;-;-;1;-;-;-;1
421885 UNIAO DO OESTE;1;-;-;-;-;-;-;1;-;3;-;5
421900 URUSSANGA;-;-;-;-;-;1;-;1;-;-;-;2
421910 VARGEAO;-;-;1;-;1;-;-;3;-;-;-;5
421920 VIDAL RAMOS;-;-;-;-;-;-;-;-;-;1;-;1
421930 VIDEIRA;-;-;-;-;3;1;1;3;-;-;-;8
421935 VITOR MEIRELES;-;-;1;-;-;-;-;-;-;-;-;1
421940 WITMARSUM;-;-;-;-;-;1;-;-;-;-;-;1
421950 XANXERE;422;11;89;62;136;105;118;568;27;62;89;1689
421960 XAVANTINA;118;-;-;-;-;-;1;1;-;1;3;124
421970 XAXIM;25;1;14;11;9;10;5;36;2;11;6;130
422000 BALNEARIO RINCAO;1;-;-;-;-;-;-;-;-;-;-;1
430005 AGUA SANTA;-;-;-;-;-;-;1;-;-;-;-;1
430010 AGUDO;-;-;-;-;-;-;-;-;-;1;-;1
430020 AJURICABA;4;1;55;24;58;26;1;71;3;26;9;278
430030 ALECRIM;11;-;-;-;-;-;-;-;-;1;1;13
430040 ALEGRETE;1;-;1;-;-;-;-;-;-;-;-;2
430045 ALEGRIA;3;-;-;-;-;-;-;-;-;1;-;4
430047 ALMIRANTE TAMANDARE DO SUL;3;-;-;1;-;-;1;-;-;-;-;5
430050 ALPESTRE;-;-;-;-;-;-;-;1;-;-;-;1
430060 ALVORADA;279;-;5;2;25;16;24;67;4;8;6;436
430064 AMETISTA DO SUL;62;1;22;16;16;12;6;13;-;3;5;156
430070 ANTA GORDA;4;-;1;-;1;-;1;1;2;-;-;10
430080 ANTONIO PRADO;-;-;-;-;-;-;-;-;-;1;-;1
430087 ARARICA;22;1;7;-;3;4;7;9;3;4;3;63
430090 ARATIBA;-;-;-;-;-;-;-;-;-;1;-;1
430100 ARROIO DO MEIO;244;2;62;70;176;51;87;172;28;48;18;958
430105 ARROIO DO SAL;-;-;1;-;-;-;-;-;-;-;-;1
430120 ARROIO DO TIGRE;-;-;-;-;-;-;-;1;-;-;-;1
430140 ARVOREZINHA;2;-;1;-;-;-;-;1;-;-;-;4
430150 AUGUSTO PESTANA;-;-;-;1;-;-;-;1;-;-;-;2
430160 BAGE;-;-;-;-;-;-;-;1;-;1;-;2
430170 BARAO DE COTEGIPE;-;-;1;-;2;4;-;14;-;4;1;26
430185 BARRA DO GUARITA;35;-;1;-;4;-;3;6;-;1;3;53
430195 BARRA FUNDA;-;-;4;4;5;3;6;25;5;5;7;64
430200 BARROS CASSAL;-;-;-;-;-;-;1;-;-;-;-;1
430205 BENJAMIN CONSTANT DO SUL;-;-;-;-;-;1;-;-;-;-;-;1
430210 BENTO GONCALVES;11;-;1;-;2;3;1;6;3;3;-;30
430215 BOA VISTA DAS MISSOES;67;-;-;-;-;-;-;-;-;1;7;75
430220 BOA VISTA DO BURICA;594;-;-;-;-;-;-;3;-;7;17;621
430230 BOM JESUS;1;-;-;-;-;-;-;1;-;-;-;2
430235 BOM PRINCIPIO;3;-;-;1;1;-;-;2;-;2;-;9
430240 BOM RETIRO DO SUL;-;-;2;4;3;3;-;1;-;-;-;13
430250 BOSSOROCA;-;-;-;1;-;-;-;-;-;-;-;1
430260 BRAGA;-;-;-;-;-;-;-;1;-;-;-;1
430280 CACAPAVA DO SUL;1;-;1;1;-;-;-;-;1;-;-;4
430300 CACHOEIRA DO SUL;892;-;15;6;49;20;48;104;13;41;59;1247
430310 CACHOEIRINHA;39;-;-;-;2;3;2;5;1;2;3;57
430330 CAIBATE;2;-;-;-;-;-;1;4;-;-;2;9
430340 CAICARA;10;1;4;1;1;4;2;4;1;4;-;32
430355 CAMARGO;11;-;2;3;4;-;3;23;2;4;-;52
430370 CAMPINA DAS MISSOES;9;-;-;-;1;-;-;4;-;1;-;15
430380 CAMPINAS DO SUL;208;-;-;-;-;-;1;-;1;2;4;216
430390 CAMPO BOM;372;-;16;15;50;16;42;130;11;16;19;687
430400 CAMPO NOVO;5;-;4;-;3;-;-;2;-;1;-;15
430420 CANDELARIA;3;-;-;-;-;-;-;1;-;-;-;4
430430 CANDIDO GODOI;10;-;-;-;-;-;-;-;-;1;-;11
430440 CANELA;-;-;-;-;-;1;6;10;-;2;1;20
430460 CANOAS;494;2;32;12;45;37;44;122;19;22;26;855
430461 CANUDOS DO VALE;-;-;-;-;-;1;1;-;-;-;-;2
430462 CAPAO BONITO DO SUL;-;-;-;-;-;1;-;-;-;-;-;1
430463 CAPAO DA CANOA;2;-;1;1;3;2;3;4;-;4;-;20
430466 CAPAO DO LEAO;2;-;-;-;-;-;-;-;-;-;-;2
430469 CAPITAO;1;-;-;-;3;4;1;3;-;2;1;15
430470 CARAZINHO;1468;-;-;-;-;-;-;-;-;-;86;1554
430471 CARAA;1;-;-;-;-;-;-;-;-;-;-;1
430480 CARLOS BARBOSA;3;-;-;-;-;-;1;-;-;1;-;5
430490 CASCA;2;-;-;-;-;-;-;-;-;-;-;2
430500 CATUIPE;1;-;-;-;1;-;-;-;-;1;-;3
430510 CAXIAS DO SUL;32;-;1;-;1;1;1;6;-;3;1;46
430511 CENTENARIO;1;-;-;-;-;-;-;-;-;-;-;1
430513 CERRO BRANCO;-;-;-;-;-;-;-;1;-;-;-;1
430515 CERRO GRANDE;20;-;24;1;20;6;6;15;8;21;2;123
430520 CERRO LARGO;1;1;10;1;24;6;12;41;11;10;10;127
430530 CHAPADA;111;-;2;-;1;3;1;7;1;4;9;139
430535 CHARQUEADAS;2;-;-;-;-;-;-;1;-;1;-;4
430540 CHIAPETTA;-;-;1;-;-;-;-;1;-;1;-;3
430558 COLINAS;4;-;1;13;40;57;51;16;-;12;5;199
430560 COLORADO;1;-;3;-;1;-;-;2;-;-;-;7
430570 CONDOR;63;1;23;12;27;13;22;44;12;30;3;250
430580 CONSTANTINA;595;2;3;2;9;4;1;3;1;4;23;647
430590 CORONEL BICACO;-;-;-;-;1;1;3;1;-;-;-;6
430595 COTIPORA;-;-;-;-;-;-;-;1;-;2;-;3
430600 CRISSIUMAL;24;-;1;-;-;1;-;2;-;2;2;32
430605 CRISTAL;1;-;-;-;1;-;-;-;-;-;-;2
430607 CRISTAL DO SUL;113;6;15;21;76;16;18;83;-;27;20;395
430610 CRUZ ALTA;1;-;-;1;-;1;-;-;1;6;-;10
430613 CRUZALTENSE;6;-;1;-;1;-;-;2;-;1;-;11
430620 CRUZEIRO DO SUL;71;-;3;2;4;3;4;11;3;4;2;107
430630 DAVID CANABARRO;2;-;-;-;-;-;-;-;-;-;-;2
430632 DERRUBADAS;1;-;-;-;-;-;-;-;-;-;-;1
430640 DOIS IRMAOS;3796;-;6;7;25;14;20;33;12;22;130;4065
430642 DOIS IRMAOS DAS MISSOES;1;-;-;-;-;-;-;-;-;-;-;1
430645 DOIS LAJEADOS;-;-;-;-;-;-;-;-;-;1;-;1
430660 DOM PEDRITO;-;-;-;-;1;-;2;4;-;-;-;7
430673 DOUTOR MAURICIO CARDOSO;1;-;5;4;9;25;9;28;-;10;2;93
430675 DOUTOR RICARDO;-;-;-;-;-;-;-;1;-;-;-;1
430676 ELDORADO DO SUL;39;-;1;-;6;1;7;11;2;1;2;70
430680 ENCANTADO;4;-;-;-;-;2;1;2;1;1;-;11
430690 ENCRUZILHADA DO SUL;3;-;-;-;1;1;-;-;-;-;1;6
430692 ENGENHO VELHO;1;-;1;1;1;1;1;3;-;1;-;10
430693 ENTRE-IJUIS;4;-;-;-;-;5;3;5;-;1;-;18
430695 ENTRE RIOS DO SUL;-;-;8;2;3;4;-;10;1;2;1;31
430700 ERECHIM;280;1;13;18;18;17;24;108;7;49;23;558
430705 ERNESTINA;2;-;-;-;-;-;-;-;-;-;-;2
430710 HERVAL;-;-;1;-;-;-;-;-;-;-;-;1
430720 ERVAL GRANDE;-;-;-;-;1;-;-;-;-;-;1;2
430730 ERVAL SECO;-;-;5;3;16;4;2;9;-;1;-;40
430745 ESPERANCA DO SUL;3;-;-;-;-;-;-;1;-;-;-;4
430750 ESPUMOSO;-;-;-;-;-;-;-;1;-;1;-;2
430755 ESTACAO;-;-;-;-;-;-;1;-;-;-;-;1
430760 ESTANCIA VELHA;1222;-;23;27;116;26;57;112;18;22;26;1649
430770 ESTEIO;72;1;1;4;6;2;7;13;1;4;15;126
430780 ESTRELA;186;-;34;16;90;49;41;127;18;47;18;626
430781 ESTRELA VELHA;-;-;2;-;-;-;-;-;-;-;-;2
430786 FAGUNDES VARELA;1;-;-;-;-;-;-;-;-;-;-;1
430790 FARROUPILHA;-;1;-;1;2;-;-;1;1;-;1;7
430800 FAXINAL DO SOTURNO;-;-;-;-;-;-;-;-;-;1;-;1
430807 FAZENDA VILANOVA;2;-;3;4;5;2;1;3;2;1;5;28
430810 FELIZ;4;-;-;-;2;1;-;4;-;-;-;11
430820 FLORES DA CUNHA;1;-;-;-;-;-;1;-;-;-;-;2
430830 FONTOURA XAVIER;-;-;-;-;-;-;-;-;-;1;-;1
430843 FORQUETINHA;6;-;-;-;-;-;-;-;-;-;-;6
430850 FREDERICO WESTPHALEN;190;-;2;-;3;-;-;6;-;2;3;206
430860 GARIBALDI;2;-;-;-;2;-;-;1;-;-;-;5
430870 GAURAMA;3;-;-;-;-;-;-;1;-;-;1;5
430880 GENERAL CAMARA;2;-;-;-;-;2;-;-;-;-;-;4
430890 GETULIO VARGAS;3;-;-;-;-;1;-;-;-;1;-;5
430900 GIRUA;14;-;2;6;2;2;4;11;3;-;1;45
430905 GLORINHA;-;-;1;-;1;1;1;1;1;-;-;6
430910 GRAMADO;55;-;4;4;17;5;12;36;10;25;12;180
430912 GRAMADO DOS LOUREIROS;-;-;-;1;-;-;-;-;-;-;-;1
430920 GRAVATAI;64;1;2;-;2;2;-;8;2;5;5;91
430930 GUAIBA;10;-;-;-;1;1;1;5;1;4;-;23
430940 GUAPORE;1;-;7;5;15;19;15;75;2;8;3;150
430950 GUARANI DAS MISSOES;13;-;9;6;4;-;4;9;3;1;2;51
430960 HORIZONTINA;1546;1;20;14;46;23;23;72;9;22;76;1852
430965 HULHA NEGRA;-;-;-;-;-;1;-;1;-;-;-;2
430970 HUMAITA;-;-;-;-;-;3;-;1;-;-;-;4
430975 IBARAMA;-;-;-;-;1;-;-;-;-;-;-;1
430980 IBIACA;-;-;-;-;-;-;-;1;-;-;-;1
430990 IBIRAIARAS;2;-;-;-;-;-;1;-;-;-;-;3
430995 IBIRAPUITA;-;-;-;-;-;1;-;-;1;-;-;2
431000 IBIRUBA;19;-;-;1;5;-;1;3;3;3;1;36
431010 IGREJINHA;6334;-;-;3;2;-;3;7;3;10;208;6570
431020 IJUI;84;1;1;2;13;7;4;20;4;19;7;162
431033 IMBE;17;-;1;-;1;3;-;6;3;5;-;36
431036 IMIGRANTE;1;-;-;-;-;2;-;-;1;-;-;4
431040 INDEPENDENCIA;12;-;-;2;1;-;2;2;-;1;-;20
431041 INHACORA;-;-;1;-;-;-;-;-;-;-;-;1
431046 IPIRANGA DO SUL;-;-;-;-;-;-;-;4;-;-;-;4
431050 IRAI;7;1;2;-;5;-;3;6;3;2;4;33
431053 ITAARA;-;-;-;-;-;-;-;1;-;-;-;1
431070 ITATIBA DO SUL;7;-;-;-;-;-;-;1;2;-;-;10
431080 IVOTI;490;1;8;9;32;23;28;58;14;31;7;701
431085 JABOTICABA;8;3;71;58;138;44;52;175;27;59;27;662
431090 JACUTINGA;4;1;4;-;8;1;3;12;1;6;2;42
431110 JAGUARI;1;-;-;-;-;-;-;1;-;-;-;2
431115 JOIA;-;-;1;1;-;-;-;-;-;-;-;2
